property_name,area_x,hotel_star_rating_x,mmt_review_score_x,Price_x,Longitude,Latitude
Hotel Golden Dream,"pune solapur rd, uruli kanchan",1,3,781,73.94906546,18.50098773
Hotel Yashraj Inn,"Pune Nagar Highway,Wagholil",1,3.5,1177,73.975046,18.579636
Seandee Hospitality,Kalyani Nagar,2,3,1240,73.905681,18.545542
Hotel Royal Park,"Kasarwadi,Mumbai Pune Highway",3,4,2680,73.827668,18.602083
Hotel Dreamland Pune,pune-nashik road,1,4.4,1728,73.87580588,18.52804978
Spree - Shivai Hotel,"Pimpri Chinchwad,Kalewadi Phada,MIDC Pimpri",4,4.2,3443,73.806607,18.640496
The Star Residency Pune,Koregaon Park,3,3.9,2491,73.9121,18.5301
Hotel Kalasagar,"Pimpri,Mumbai Pune Highway,Pimpri-Chinchwad",3,4.4,2489,73.818699,18.613629
Hotel Executive Residency,"Koregaon Park,Pune Railway Station,Kalyani Nagar",2,4.1,1280,73.887657,18.541124
Ranajeet Hotel,Bhandarkar Rd,1,3.3,2074,73.836312,18.518825
Radisson Blu Hotel Pune Kharadi,"Pune, Airport,Magarpatta,Nagar Road",5,4.5,6749,73.938,18.5535
Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575
Hotel Samrat,Pune,1,3.7,2240,73.874252,18.527368
Alcove Service Apartments Fortaleza Kalyani Nagar,Opposite Gold Adlabs Multiplex,1,3.9,3000,73.7976,18.591
Olive Service Apartments Hinjewadi,Pune,2,4,1700,73.777153,18.597286
Hotel Ravikant,Pune Satara Road,1,3.5,1237,73.856,18.4747
Honey Hospitality Service Apt Hinjewadi Viman Nagar,Flat No- 13 NearvIMAN NAGAR,1,3,3180,73.9269,18.5026
Le Meridien Pune,"Raja Bahadur Mill Rd,Sangamvadi",5,4.2,9698,73.871171,18.530146
Kalpatharuvu Service Apartments,"Viman Nagar,Kharadi,Magarpatta",3,3.8,5687,73.92974,18.517544
Hotel Shloka Lodging,"Thergaon, Pune",1,3.3,3600,73.7653203,18.61457951
The Ambience Hotel,"Shivaji Nagar, Pune",3,4.3,3932,73.838067,18.53000943
12 Star Chandan Nagar,"Opp Chandan Nagar water Tank,",1,4,3500,73.92943309,18.56349772
Hotel Krishna Palace Wagholi,"Nr Mapple Hotel,Nagar Rd,Pune",1,3.3,1161,73.969263,18.577188
Hotel Rajmahal,Mitra Mandal Colony,1,3.4,897,73.851672,18.49786
Treebo Brooks Manor,"Viman Nagar,Kharadi",2,3.7,1960,73.94928,18.56548
Iprass service apartments viman nagar,viman nagar,1,4.3,2045,73.9051,18.5455
Hotel Mint,"Dhole Patil Road,Sangamvadi",3,4.2,2184,73.874881,18.535677
Hotel Sahara,Shivaji Nagar,3,3.8,5019,73.830479,18.536993
Apple Tree Hospitality,Koregaon Park,2,5,1967,73.897005,18.531693
Residence 20 hotel,Aundh,1,3.1,2456,73.809103,18.56027
Camp Waters Edge,"MAVAL, PUNE",1,4.3,17890,73.61029978,18.81491626
Deccan Rendezvous,"Shivaji Nagar,Deccan Gymkhana,Fergusson College Road,Jangali Maharaj Road",4,4.4,2306,73.8437,18.5234
Corporate Comfort Service Apartment Rio Grande,Viman Nagar,1,3.6,5612,73.91855129,18.56941747
Fortune Inn Jukaso,"Viman Nagar,Nagar Road",4,4,3081,73.918644,18.566307
Hotel Jolly,"Pune-Solapur Road, Daund, Pune",1,3.6,5023,74.164376,18.485882
Hotel Rathi Residency,Pune,2,4,1200,73.819323,18.663616
Hotel Sitara Inn,"Indage Ltd, Tal Junnar, Dist",1,3.6,1688,73.85350054,18.63428045
Hotel Krishna Palace - Viman Nagar,"Opp Phoenix Mall, Wadgaonsheri",1,4.1,4000,73.956027,18.572369
Conrad Pune,"Bund Garden Road,Koregaon Park,Pune Railway Station,Nagar Road",5,4.6,12750,73.883219,18.535481
Citrus Hotel,"Chinchwad,MIDC Pimpri,Pimpri",4,4.1,3023,73.803593,18.627356
Da Casa Business Hotel,"Pune Railway Station,City Center",2,2.7,1800,73.862869,18.520052
Hotel Trimurti Pride,"Katraj Ghat,Mangadewadi",1,2.3,3040,73.859181,18.451937
Aerith Studios and Service Apartments,Pandhari Nagar,3,4.6,700,73.93965,18.553837
The Coronet Hotel,"Camp Area,Jangali Maharaj Road,Central Pune",1,3.5,3358,73.844513,18.52251
Hotel Eagle Executive,"Wakad Naka,Wakad,Pimpri-Chinchwad",2,4,4172,73.797166,18.627366
Hotel Aishwarya,"Chinchwad,Pimpri,Pimpri-Chinchwad",1,4.3,3056,73.851551,18.504172
Hotel Padma Krishna,Mangalwar Peth,1,3.1,1777,73.864144,18.52242
IPRASS Service Apartment Kalyani Nagar 1,KalyaniNagar,1,4.3,2045,73.905106,18.545514
JM Four Hotel,"Shivaji Nagar,Deccan Gymkhana,Jangali Maharaj Road",3,4.4,2404,73.846367,18.522089
"The Fern Residency, MIDC, Pune","Chinchwad,MIDC Pimpri,Pimpri,Wakad,Pune Nashik Highway, Bhosari,Pimpri,Pimpri-Chinchwad,Bhosari,Bhosari Pradhikaran",3,4.3,3794,73.830313,18.621725
Hotel Mapple Adhwryou,Pune Railway Station,4,3.9,2302,73.95938,18.574101
Hotel Kundan Palace,Akurdi,1,3.6,2861,73.783481,18.651274
Hotel Silver Seven Pune,Akurdi,1,4.8,1902,73.780182,18.655015
SIESTA SPRINGS (Service Apartments),"Viman Nagar,Kalyani Nagar,Yerwada",1,3.6,800,73.8909,18.5744
Hotel Oasis,"Solapur Road,Uruli Kanchan",1,2,3600,74.089004,18.492239
Hotel Gandharva Residency J M Road,"J M Road, Shivaji Nagar, Pune",1,3.8,2232,73.84923641,18.52301599
Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061
Hotel Raviraj,"Shivaji Nagar,Deccan Gymkhana,Central Pune",1,3.2,1908,73.836552,18.517856
MH12 Services Pune,New Kalyani Nagar,1,4.7,2399,73.91426666,18.568171
Hotel Surya Villa,"Camp Area,Koregaon Park",1,3.7,2563,73.887709,18.541342
Hotel Supreme Heritage,"Koregaon Park,Pune Railway Station,Kalyani Nagar",4,3.8,2170,73.904158,18.55022
Hotel Ashok Deluxe,"deccan gymkhana, pune",1,4,1210,73.84692105,18.52240888
Gourish Hotel,"Shivajinagar, pune",1,4.1,1177,73.681119,17.951461
Hotel Green Plaza,"Pune, Airport",1,3.7,600,73.895084,18.535864
"Courtyard by Marriott, Pune Chakan","MIDC Pimpri,Chakan",4,4.9,9000,73.788041,18.74465
Hotel Sai Palace,Shivaji Nagar,1,3.6,3708,73.845762,18.521481
The Orchid,"Hinjewadi,Aundh,Mumbai Pune Highway",5,4,6099,73.763915,18.57087
Hotel Sapna,"Koregaon Park,Shivaji Nagar,Pune Railway Station",2,4.3,2600,73.845909,18.519447
Hotel Suryananda Executive,"Near LIC Building, Pune",2,3.6,2358,73.844688,18.513672
The Central Park,"Bund Garden Road,Koregaon Park,Pune Railway Station",4,4.3,1566,73.878277,18.527609
Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736
Hotel Vijay Lodge,"shivajinagar, pune",1,3.7,730,73.84847292,18.52325661
MK Service Apartments,Viman Nagar,1,4,1300,73.86209082,18.59237249
Corporate Comfort Service Apartment Viman Nagar,Viman Nagar,1,3.6,372,73.89918295,18.54063199
Amigo Service Apartment - Chinchwad,"Pimpri Chinchwad,MIDC Pimpri,Pune Nashik Highway, Bhosari,Shivtej Nagar",1,3.8,1105,73.842338,18.650101
Galaxy Service Apartment,Viman Nagar,1,3.5,1000,73.9214,18.5579
Hotel Utsav Deluxe,Pune Satara Road,1,3.9,2366,73.858395,18.48908
Nikhil Garden,Kalyani Nagar,1,4.2,1000,73.82808,18.459501
Oxford Golf and Country Club,"Aundh,Baner,Wakad",5,4.4,10029,73.785105,18.543698
Virgin winds villa,Mulshi,1,4.5,6245,17.642378,73.144258
Hotel Amruta Garden Executive,Bhor,1,3.5,2373,73.842902,18.526571
Hotel Sargam,Viman Nagar,2,4.4,821,73.895264,18.55192
Hotel Gandharva Residency Hadapsar,Hadapsar,2,3.3,1441,73.954686,18.4992173
Hotel Lokesh,Pune Satara Road,1,4.6,905,73.857184,18.486827
Paradise Service Apartment,Kalyani Nagar,1,3.1,990,73.9054,18.5452
Hotel Maharaja Inn,Daund,1,3.4,1758,74.50947,18.400211
Hotel Santosh Lodge,moshi,1,4,1000,73.84927517,18.67879595
Hotel New Firangai Lodging,Kurukumbh,1,2.5,4364,74.52453,18.39732
Hotel Midas Touch,Alandi,1,3.9,800,73.86864132,18.6788049
Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314
Amigo Serviced Apartments - Baner,Aundh,1,3.6,1334,73.775811,18.562797
Pratikruti The Lake View Resort,Nr. Katraj Junction,2,2.9,959,73.849846,18.434082
Innovative Service Apartment Hinjewadi,Hinjewadi,1,5,1200,73.71829,18.592497
Hotel Kamini - Chinchwad,Pimpri Chinchwad,3,5,868,73.788175,18.641188
Hotel Muktangan,Khed Shivpur,1,3.6,1332,73.8397,18.339047
Hotel Orchard,Deccan Gymkhana,3,3.9,2300,73.8439903,18.5202527
Hotel Vikrant,Pimpri,1,4.3,2400,73.804859,18.625991
Hotel Kapil Residency,"Near Sinchan Bhavan,",1,3.7,1747,73.86597506,18.52431484
Hotel Shreyas,Deccan Gymkhana,2,4.4,2700,73.843947,18.519013
Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672
St Laurn Business Hotel,"Viman Nagar,Koregaon Park,Nagar Road",4,3.9,4236,73.886006,18.538357
Hotel Seasons Aundh,"Aundh,Baner",4,4.6,6743,73.804656,18.554684
Manisha Service Apartments,Hadapsar,3,1.3,5775,73.919956,18.504391
Hotel Formule1 Pune Pimpri,"Pimpri Chinchwad,Pimpri,Wakad,Pimpri",3,3.9,2720,73.806998,18.627999
Shree Panchratna Hotel,"Dhole Patil Road,Pune Railway Station",3,4.5,2960,73.874689,18.531642
IBIS Pune,"Viman Nagar,Kalyani Nagar,Yerwada",3,3.8,4800,73.913071,18.55988
The Haven,Kharadi,3,4,3259,73.943043,18.549993
Hotel Suraj,Erandwana,1,3.8,1840,73.840599,18.5184
Hotel Ratnalok,Akurdi,1,3.2,1901,73.78095,18.654719
Treebo Deccan 8,"Shivaji Nagar,Deccan Gymkhana,Fergusson College Road,Senapati Bapat Road",3,3.4,3364,73.82613476,18.50863035
Oakwood Premier,"Koregaon Park,Pune Railway Station,Kalyani Nagar",5,4.3,3515,73.910412,18.533221
Treebo Golden Emerald,Maharashtra,3,3.6,2595,73.86958,18.4927
Hotel Fort Jadhavgadh,"Koregaon Park,Kalyani Nagar,Magarpatta",5,3.9,11328,74.002798,18.395637
Cherry Trees Service Apartment,Kalyani Nagar,1,3.6,1217,73.904908,18.544467
Hotel Tushar,"Deccan Gymkhana,Kkulkarni Road,Laxmi Road",1,4.5,1331,73.844775,18.513047
Global Home Stay Solution Pvt Ltd,Magarpatta City,1,1.9,3500,73.94867704,18.54818077
Hotel Vrindavan,Dhole Patil Road,1,2.1,952,73.8765,18.5352
Hotel Jagannath,"Koregaon Park,Pune Railway Station,Central Pune",1,4.1,1175,73.869943,18.522023
Hotel Span Executive,Shivaji Nagar,2,3.8,1828,73.848323,18.527078
The Imperio,Baner  Road,2,4.3,7499,73.79338903,18.55936483
Hotel Ambience Executive,"Kalewadi Phada,Wakad",4,4.2,999,73.775343,18.600946
Royal Orchid Golden Suites - Pune,"Viman Nagar,Pune, Airport,Kalyani Nagar",4,4.3,3080,73.909,18.5463
Hotel Ketan,"Shivaji Nagar,Deccan Gymkhana,Fergusson College Road",1,4.3,5564,73.841113,18.520594
Hotel Mukesh Residency Pune,"Pune Railway Station,Central Pune,Laxmi Road,Camp",1,3.3,905,73.87473,18.51752
Shantai Hotel,"Bund Garden Road,Koregaon Park,Pune Railway Station,Camp",3,4.2,1606,73.870936,18.519541
Ranjanas Hospitality LLP,Bhumkar Chowk Wakad,1,4.3,1059,73.753823,18.603944
Park Ornate,"Bund Garden Road,Viman Nagar,Nagar Road",4,4.4,3629,73.891985,18.549837
Hotel Nanashree Grand,Viman Nagar,1,3.3,1500,73.90125,18.553565
Vinstar Serviced Apartments,"Hinjewadi,Balewadi,Wakad,Pimpri",3,4.5,2308,73.730633,18.584646
VITS Hotel,"Hinjewadi,Aundh,Wakad,Chhatrapati Shiviaji Sports Complex",4,3.8,4247,73.76366,18.5711
Centurion Inn - Pure Veg,"Shivaji Nagar,Pune Railway Station,Central Pune",3,3.9,1703,73.839454,18.533133
Sai Executive,Mangalwar Peth,1,3.5,2004,73.866054,18.524386
Hotel Parichay,"Shivaji Nagar,Deccan Gymkhana",2,4.1,2200,73.7839,18.5436
The Westin Pune Koregaon Park,"Koregaon Park,Koregaon Park Extension,Ghorpadi",5,4.5,13570,73.906,18.5394
The Pride - Pune,"Bund Garden Road,Pune Railway Station,Jangali Maharaj Road",5,4.2,11327,73.847284,18.531455
Hotel Shiv Inn,"Chinchwad,Pimpri,Pimpri-Chinchwad",1,2.9,1447,73.655509,18.727259
Courtyard by Marriott Pune Hinjewadi,"Hinjewadi,P4 Rajiv Gandhi",4,4.8,10089,73.747194,18.590991
Hotel Hindusthan International (HHI),"Viman Nagar,Koregaon Park,Kalyani Nagar",4,4.4,4125,73.914789,18.561381
Supreme World Service Apartment,Koregaon Park,1,3.5,4000,73.90107,18.5392
Hotel Bhagyashree,Hadapsar,1,3.4,2218,73.941679,18.496678
